Year,Overflow_Type,Municipality,Wet-Dry-Event,NPDES,Date_discovered,Time_discovered,Days,Hours,Minutes,Location,Pipe-Manhole-ID,ZipCode,Latitude,Longitude,Collection-System,QUAN-GALS-Gross,QUAN-GALS-Net,Cause,HealthDeptNotified,How_HeatlhDepart_Was_Notified,Corrective_Action,Watershed,Receiving_waters,County,Comment,Penalty_Collected,Penalty_Collected_Comments
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/27/2018,,,,,Hurley Ave. and Wilkins Ave.,Manhole,21223,39.276789,-76.662456,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Cleaned the affected.  Performed mainline CCTV inspection to determine cause.,Gwynns Falls,Gwynns Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/27/2018,,,,,601 S. Beechfield Ave.,Clean out,21229,39.273395,-76.693055,City of Baltimore Dept. of Public Works,99,99,"Trash/debris, sand, gravel, rocks.",,,Relieved house connection choke.  Confirmed connection is clear.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/27/2018,,,,,229 N. Calhoun St.,Clean out,21223,39.291769,-76.644079,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 45 ft. of electric cable.  Confirmed connection is clear.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/27/2018,,,,,351 Gwynn Ave.,Clean out,21229,39.291673,-76.673466,City of Baltimore Dept. of Public Works,99,99,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 60 ft. of electric cable.  Confirmed connection and mainline are clear.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/27/2018,12:55:00 PM,0,11,35,1627 Ceddox St.,Pipe,21226,39.221003,-76.587142,City of Baltimore Dept. of Public Works,1042,1042,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Flushed and cleaned 8 inch mainline with 300 ft. of pressure hose.  Performed mainline CCTV inspection to determine possible structural damage.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/28/2018,4:30:00 PM,0,2,24,2574 W. Lafayette Ave.,Manhole,21216,39.298571,-76.658812,City of Baltimore Dept. of Public Works,288,288,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved mainline choke with 200 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,2/28/2018,7:28:00 AM,0,2,56,515 E. 38th St.,Clean out,21218,39.33514,-76.608987,City of Baltimore Dept. of Public Works,176,176,"Roots, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 30 ft. of electric cable and auger.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,3/2/2018,,,,,247 N. Bruce St.,Clean out,21223,39.291692,-76.644442,City of Baltimore Dept. of Public Works,99,99,Rags.,,,Relieved 6 inch house connection choke with 30 ft. of electric cable.  Confirmed connection is clear and performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,3/4/2018,,,,,3519 Rosekemp Ave.,Manhole,21214,39.340137,-76.56323,City of Baltimore Dept. of Public Works,99,99,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 175 ft. of pressure hose.  Performed mainline CCTV inspection.,Back River,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/5/2018,1:43:00 PM,0,1,41,W. Fairmount Ave. & N. Franklintown Rd.,Manhole,21223,39.288299,-76.659326,City of Baltimore Dept. of Public Works,101,101,"Rags, grease.",,,Flushed and cleaned 8 inch mainline with 200 ft. of pressure hose.  Confirmed mainline is clear.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/5/2018,,,,,3208 Piedmont Ave.,Clean out,21216,39.316618,-76.671851,City of Baltimore Dept. of Public Works,99,99,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 30 ft. of electric cable.  Confirmed connection and mainline are clear.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/5/2018,3:27:00 PM,0,4,55,503 N. Streeper St.,Clean out,21205,39.29729,-76.5771,City of Baltimore Dept. of Public Works,295,295,"Trash/debris, sand, gravel, rocks, pipe break.",,,Private plumber fixed issue on consumer side.  Flushed and cleaned 8 inch mainline.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,3/6/2018,,,,,2657 Norland Rd.,Clean out,21230,39.252129,-76.644353,City of Baltimore Dept. of Public Works,99,99,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 7 ft. of electric cable.  Confirmed mainline and connection are clear.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,3/9/2018,8:48:00 AM,0,0,42,6308 Clearspring Rd.,Manhole,21212,39.369796,-76.608574,City of Baltimore Dept. of Public Works,210,210,Unknown.,,,Relieved mainline choke with 90 ft. of pressure hose.  Confirmed mainline is clear.,Back River,Chinquapin Run,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/10/2018,6:30:00 PM,0,1,33,212 N. Streeper St.,Pipe,21224,39.295501,-76.577303,City of Baltimore Dept. of Public Works,186,186,"Rags, grease, trash/debris, sand, gravel, rocks, pipe break.",,,Relieved 8 inch mainline choke with 200 ft. of pressure hose.  Performed mainline CCTV inspection to determine possible structural damage.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/10/2018,,,,,2111 Mount Holly St.,Clean out,21216,39.311183,-76.681574,City of Baltimore Dept. of Public Works,99,99,"Rags, roots.",,,Relieved 6 inch house connection choke with 35 ft. of electric cable.  Performed CCTV inspection; confirmed lateral and mainline are clear.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/12/2018,,,,,6900 Bownel Ave.,Clean out,21237,39.308431,-76.534125,City of Baltimore Dept. of Public Works,99,99,"Roots, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 45 ft. of electric cable. Confirmed lateral is clear; flushed and cleaned mainline.,Back River,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/12/2018,11:20:00 AM,0,2,30,600 S. Martin Luther King Jr. Blvd.,Manhole,21201,39.28589,-76.627752,City of Baltimore Dept. of Public Works,750,750,"Rags, grease.",,,Relieved mainline choke with 250 ft. of pressure hose.  Performed mainline CCTV inspection.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/13/2018,,,,,18 Midvale Rd.,Clean out,21210,39.355171,-76.640537,City of Baltimore Dept. of Public Works,99,99,"Rags, roots.",,,Relieved house connection choke with 30 ft. of electric cable.  Camera confirmed connection is clear.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/14/2018,,,,,5200 Darien Rd.,Clean out,21206,39.326782,-76.531743,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 45 ft. of electric cable.  Confirmed lateral and mainline are clear.,Back River,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/14/2018,,,,,6216 Pinehurst Rd.,Clean out,21212,39.371134,-76.615824,City of Baltimore Dept. of Public Works,99,99,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 45 ft. of electric cable.  Confirmed lateral is clear; cleaned the mainline.,Back River,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/14/2018,1:35:00 PM,0,2,7,5417 Reisterstown Rd.,Manhole,21215,39.347266,-76.688864,City of Baltimore Dept. of Public Works,127,127,"Rags, grease.",,,Relieved 8 inch mainline choke with 200 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,Gwynns Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/15/2018,12:30:00 PM,0,2,19,3400 Reisterstown Rd.,Manhole,21215,39.32651,-76.658497,City of Baltimore Dept. of Public Works,695,695,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 275 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/16/2018,2:25:00 PM,0,8,20,5015 Falls Road Ter,Manhole,21210,39.354766,-76.643278,City of Baltimore Dept. of Public Works,1000,1000,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved mainline choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/16/2018,,,,,4524 Keswick Rd.,Clean out,21210,39.345844,-76.630227,City of Baltimore Dept. of Public Works,99,99,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 30 ft. of electric cable.  Confirmed lateral is clear; cleaned the mainline.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/18/2018,6:22:00 AM,0,4,50,6011 Falls Rd.,Manhole,21209,39.371535,-76.649198,City of Baltimore Dept. of Public Works,580,580,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved mainline and house connection chokes with 160 ft. of pressure hose.  Performed CCTV inspections.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/18/2018,,,,,726 Newington Ave.,Clean out,21217,39.313883,-76.630646,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks, other.",,,Relieved house connection choke with 30 ft. of electric cable.  Left door notice indicating findings.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/19/2018,3:58:00 PM,0,2,2,Evesham Ave. & The Alameda,Manhole,21239,39.361579,-76.594118,City of Baltimore Dept. of Public Works,484,484,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved mainline choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection.,Back River,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/19/2018,8:04:00 PM,0,3,16,1149 Covington St.,Clean out,21230,39.277052,-76.606783,City of Baltimore Dept. of Public Works,392,392,"Rags, roots, rain.",,,Relieved mainline and house connection chokes.  Performed CCTV inspections.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,3/21/2018,8:40:00 PM,0,1,4,2100 E. 20th St.,Manhole,21213,39.313281,-76.588703,City of Baltimore Dept. of Public Works,320,320,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 250 ft. of pressure hose.  Performed mainline CCTV inspection.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,3/22/2018,6:50:00 PM,0,3,52,W. Cold Spring Ln. & Keswick Rd.,Manhole,21210,39.344702,-76.629839,City of Baltimore Dept. of Public Works,464,464,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,3/22/2018,,,,,1412 N. Luzerne Ave.,Clean out,21213,39.30726,-76.581671,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 60 ft. of electric cable.  Confirmed lateral is clear.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/26/2018,,,,,2804 Wilkens Ave.,Manhole,21223,39.276791,-76.663411,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved mainline choke.  Confirmed choke was relieved.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/26/2018,1:00:00 PM,,,,8201 Eastern Ave.,Facility,21224,39.1738,-76.2828,Back River WWTP,999,999,Both influent gates to ACT #2 and ACT #3 were shut down accidentally and caused an overflow through a 4 inch opening in the wall.,,,Situation was resolved quickly by opening both gates manually. Consultants for project #877 contacted and instructed to review software program to prevent future accidental shutdown.,Back River,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/27/2018,1:55:00 PM,0,2,5,919 Claymont Ave.,Manhole,21216,39.298968,-76.660339,City of Baltimore Dept. of Public Works,625,625,"Rags, grease, trash/debris, sand/gravel, rocks.",,,Relieved 8 inch mainline choke with 150 ft. of pressure hose. Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/28/2018,,,,,2657 Norland Rd.,Clean out,21230,39.252129,-76.644353,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 10 ft. of electric cable.  Confirmed choke is relieved; left notice for consumer.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/28/2018,,,,,3114 Grindon Ave.,Clean out,21214,39.339894,-76.568306,City of Baltimore Dept. of Public Works,99,99,"Rags, roots, grease.",,,Relieved 6 inch house connection choke with 30 ft. of electric cable.  Cleaned lateral to confirm it's clear.,Back River,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/28/2018,,,,,428 E. Preston St.,Clean out,21202,39.30514,-76.60977,City of Baltimore Dept. of Public Works,99,99,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 30 ft. of electric cable.  Flushed and cleaned 8 inch mainline; confirmed lateral is clear.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/28/2018,,,,,723 E. Preston St.,Clean out,21202,39.304657,-76.607469,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 30 ft. of electric cable.  Flushed and cleaned 8 inch mainline; confirmed connection is clear.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/29/2018,7:32:00 PM,0,2,46,3025 Wolcott Ave.,Manhole,21216,39.322111,-76.683759,City of Baltimore Dept. of Public Works,166,166,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 300 ft. of pressure hose.  Confirmed mainline is clear.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,3/29/2018,,,,,4059 Evans Chapel Rd.,Manhole,21211,39.340436,-76.635162,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 500 ft. of pressure hose.  Performed mainline CCTV inspection.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,3/30/2018,8:52:00 PM,0,3,11,3229 Abell Ave.,Clean out,21202,39.327759,-76.611867,City of Baltimore Dept. of Public Works,382,382,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke;  flushed and cleaned 8 inch mainline.  Performed CCTV inspection; confirmed lines are clear.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,3/31/2018,,,,,5801 Leith Walk,Manhole,21239,39.362336,-76.590699,City of Baltimore Dept. of Public Works,99,99,"Rags, grease.",,,Relieved 8 inch mainline choke with 100 ft. of pressure hose.  Performed CCTV inspection.,Back River,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/2/2018,,,,,1745 E. Preston St.,Clean out,21213,39.30524,-76.59322,City of Baltimore Dept. of Public Works,99,99,"Trash/debris, sand, gravel, rocks, pipe break.",,,Ran 15 ft. of electric cable and performed CCTV inspection.  Pipe is already scheduled for repair.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/3/2018,,,,,1831 W. Saratoga St.,Manhole,21223,39.29179,-76.64665,City of Baltimore Dept. of Public Works,99,99,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection; flushed 6 inch house connection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/5/2018,,,,,4121 Falls Rd.,Clean out,21211,39.33817,-76.63743,City of Baltimore Dept. of Public Works,99,99,"Rags, roots.",,,Relieved house connection choke with 35 ft. of electric cable.  Flushed and cleaned 8 inch mainline.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/5/2018,,,,,1703 Sulgrave Ave.,Clean out,21209,39.36669,-76.65329,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved 6 inch house connection choke with 30 ft. of electric cable.  Flushed and cleaned 2 sections of 10 inch mainline; confirmed clear.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/5/2018,,,,,4300 Hayward Ave.,Manhole,21215,39.34361,-76.69142,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 250 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/5/2018,,,,,5503 Peerless Ave.,Clean out,21207,39.33718,-76.70501,City of Baltimore Dept. of Public Works,99,99,"Roots, trash/debris, sand, gravel, rocks.",,,Relieved 6 inch house connection choke with 30 ft of electric cable.  Confirmed lateral and mainline are clear.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/5/2018,1:22:00 PM,0,1,38,1001 Arion Park Rd.,Manhole,21229,39.267268,-76.686035,City of Baltimore Dept. of Public Works,490,490,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 275 ft. of pressure hose.  Performed mainline CCTV inspection.,Patapsco River L N Br,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/9/2018,2:35:00 PM,0,1,29,300 N. Hilton St.,Manhole,21229,39.290704,-76.672849,City of Baltimore Dept. of Public Works,890,890,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Flushed and cleaned 10 inch mainline with 500 ft. of pressure hose.  Confirmed choke is relieved and mainline clear.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/9/2018,,,,,3128 Northway Dr.,Clean out,21234,39.36237,-76.546136,City of Baltimore Dept. of Public Works,99,99,"Trash/debris, sand, gravel, roots.",,,Relieved house connection choke with 30 ft. of electric cable.  Performed house lateral CCTV inspection.,Back River,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/10/2018,,,,,3300 The Alameda,Clean out,21218,39.32873,-76.59559,City of Baltimore Dept. of Public Works,99,99,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 60 ft. of electric cable.  Confirmed lateral and mainline are clear.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/10/2018,2:28:00 PM,0,5,24,3906 Maine Ave.,Clean out,21207,39.326699,-76.683895,City of Baltimore Dept. of Public Works,648,648,"Rags, roots.",,,Relieved house connection choke with 60 ft. of electric cable.  Flushed and cleaned 8 inch mainline; left door notice for plumber.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/11/2018,1:01:00 PM,0,2,11,59 N. Catherine St.,Manhole,21223,39.289169,-76.656342,City of Baltimore Dept. of Public Works,393,393,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved 8 inch mainline choke with 250 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/11/2018,9:16:00 AM,0,4,28,3601 Keystone Ave.,Pipe,21211,39.331867,-76.64932,City of Baltimore Dept. of Public Works,756,756,"Rags, trash/debris, sand, gravel, rocks, pipe break.",,,Relieved 8 inch mainline choke with 200 ft. of pressure hose.  Confirmed mainline is clear.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/12/2018,3:43:00 PM,0,7,13,1901 Chesapeake Ave.,Clean out,21226,39.237711,-76.573416,City of Baltimore Dept. of Public Works,216,216,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 55 ft. of electric cable.  Cleaned 10 inch mainline.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/13/2018,,,,,2213 Roslyn Ave.,Clean out,21216,39.313011,-76.676892,City of Baltimore Dept. of Public Works,99,99,"Rags, roots, grease, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 60 ft. of electric cable.  Confirmed lateral is clear; cleaned mainline.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/13/2018,,,,,1831 W. Saratoga St.,Clean out,21223,39.29179,-76.64665,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved choke with 120 ft. of pressure hose.  Confirmed mainline is clear; left plumber notice for issue on consumer side.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/13/2018,,,,,1822 N. Payson St.,Clean out,21217,39.30926,-76.650014,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand, gravel, rocks.",,,Relieved 6 inch house connection choke with 30 ft. of electric cable.   Confirmed lateral and mainline are clear.,,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/13/2018,9:40:00 AM,0,0,50,4022 Pulaski Hwy.,Clean out,21224,39.297301,-76.563498,City of Baltimore Dept. of Public Works,99,99,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 30 ft. of electric cable.  Confirmed connection and mainline are clear.,Back River,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/13/2018,,,,,3302 The Alameda,Clean out,21218,39.328339,-76.595358,City of Baltimore Dept. of Public Works,99,99,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 90 ft. of electric cable.  Confirmed lateral is clear;  left notice to install closer cleanout.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/14/2018,,,,,1806 Druid Hill Ave.,Clean out,21217,39.305963,-76.633783,City of Baltimore Dept. of Public Works,99,99,"Rags, trash/debris, sand. Gravel, rocks.",,,Relieved house connection choke with 30 ft. of electric cable.  Flushed and cleaned 12 inch mainline; confirmed lateral and mainline are clear.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,4/16/2018,4:15:00 AM,0,0,15,E. 32nd St. & St. Paul St.,Manhole,21218,39.326931,-76.615881,City of Baltimore Dept. of Public Works,2500,2500,Rain.,,,SSO structure;  not applicable.  SSO structure will be closed upon completion of necessary capital project.,Jones Falls,Jones Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,4/16/2018,3:55:00 AM,0,0,30,N. Charles St. & W. Lanvale St.,Manhole,21202,39.308745,-76.616388,City of Baltimore Dept. of Public Works,4000,4000,Rain.,,,SSO structure;  not applicable.  SSO structure will be closed upon completion of necessary capital project.,Jones Falls,Jones Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,4/16/2018,4:40:00 AM,0,4,10,1901 Falls Rd.,Manhole,21217,39.312098,-76.621087,City of Baltimore Dept. of Public Works,402000,402000,Rain.,,,SSO structure;  not applicable.  SSO structure will be closed upon completion of necessary capital project.,Jones Falls,Jones Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,4/16/2018,3:45:00 AM,0,6,20,428 E. Preston St.,Manhole,21202,39.30514,-76.60977,City of Baltimore Dept. of Public Works,3707000,3707000,Rain.,,,SSO structure; not applicable.  SSO structure will be closed upon completion of necessary capital project.,Jones Falls,Jones Falls,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/18/2018,12:17:00 PM,133,1,43,3316 Bancroft Rd.,Pipe,21215,39.363877,-76.69402,City of Baltimore Dept. of Public Works,9725,9725,"Rags, roots, pipe break.",,,Successfully set up bypass pumping to abate overflow.  Lining will be installed at this location by a contractor.,Jones Falls,Western Run,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,4/18/2018,12:57:00 PM,1,5,33,3004 Gibbons Ave.,Pipe,21214,39.3507,-76.56167,City of Baltimore Dept. of Public Works,8865,8865,Pipe break.,,,Repaired damage to the mainline.  Office of Compliance and Laboratories performed test to confirm abatement.,Back River,Herring Run,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,4/18/2018,,,,,508 E. Preston St.,Manhole,21202,39.305231,-76.609104,City of Baltimore Dept. of Public Works,300,300,"Pipe break, other.",,,Bypass pump was repaired.  Proper maintenance measurements have been established to prevent bypass pump from re-breaking again.,Jones Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,4/18/2018,,,,,1609 Gwynns Falls,Clean out,21217,39.317825,-76.648386,City of Baltimore Dept. of Public Works,99,99,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 45 ft. of electric cable.  Confirmed choke is relieved; cleaned mainline.,Gwynns Falls,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/19/2018,,,,,3408 Keene Ave.,Clean out,21214,39.348445,-76.554987,City of Baltimore Dept. of Public Works,99,99,"Rags, roots, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 45 ft. of electric cable.  Performed house lateral CCTV inspection.,Back River,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Wet,,4/19/2018,,,,,1516 E. Biddle St.,Clean out,21213,39.304338,-76.597224,City of Baltimore Dept. of Public Works,99,99,"Rags, grease, trash/debris, sand, gravel, rocks.",,,Relieved house connection choke with 30 ft. of electric cable.  Confirmed lateral and mainline are clear.,Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/22/2018,8:20:00 PM,0,1,25,25 N. Caroline St.,Clean out,21231,39.292045,-76.596906,City of Baltimore Dept. of Public Works,99,99,"Grease, trash/debris, sand, gravel, rocks.",,,"Relieved house connection choke with 45 ft. of electric cable.  Performed house lateral CCTV inspection, confirmed connection is clear.",Baltimore Harbor,,Baltimore City,,,
2018,SSO,City of Baltimore Dept. of Public Works,Dry,,4/22/2018,,,,,4319 Walther Ave.,Clean out,21214,39.337678,-76.569436,City of Baltimore Dept. of Public Works,99,99,"Rags, roots.",,,Relieved house connection choke with 30 ft. of electric cable.  Confirmed connection is clear; flushed and cleaned 8 inch mainline.,Back River,,Baltimore City,,,
